Subregion,street tree,urban tree,bioswale,rain garden,green infrastructure
Oregon,47,48,100,62,0
Washington,52,40,41,85,29
California,66,60,34,24,12
Illinois,53,31,27,44,30
New York,84,32,19,33,41
Texas,44,27,12,27,10
Alaska,0,0,0,0,0
Alabama,47,0,0,31,0
Arkansas,48,0,0,0,0
Arizona,41,29,0,20,0
Colorado,70,41,0,26,0
Connecticut,68,33,0,41,0
District of Columbia,79,41,0,45,100
Delaware,0,0,0,0,0
Florida,51,21,0,24,0
Georgia,52,25,0,28,0
Hawaii,47,0,0,0,0
Iowa,45,0,0,81,0
Idaho,0,0,0,0,0
Indiana,50,29,0,53,0
Kansas,50,0,0,50,0
Kentucky,39,0,0,51,0
Louisiana,50,0,0,30,0
Massachusetts,100,41,0,38,27
Maryland,60,34,0,77,48
Maine,99,0,0,0,0
Michigan,53,29,0,47,0
Minnesota,43,37,0,100,0
Missouri,44,31,0,60,0
Mississippi,39,0,0,0,0
Montana,0,0,0,0,0
North Carolina,53,29,0,49,0
North Dakota,0,0,0,0,0
Nebraska,63,0,0,49,0
New Hampshire,64,100,0,0,0
New Jersey,67,34,0,45,22
New Mexico,43,0,0,0,0
Nevada,43,0,0,0,0
Ohio,45,31,0,59,25
Oklahoma,42,0,0,31,0
Pennsylvania,82,47,0,54,39
Rhode Island,78,0,0,0,0
South Carolina,56,0,0,37,0
South Dakota,0,0,0,0,0
Tennessee,52,31,0,43,0
Utah,44,0,0,0,0
Virginia,44,24,0,41,24
Vermont,0,0,0,0,0
Wisconsin,58,30,0,76,0
West Virginia,0,0,0,0,0
Wyoming,0,0,0,0,0
